"","Oil_Gas","Top MD (ft)","Bottom MD (ft)","Open_Cased","Radius (in)","Water_Oil-Based","Loss/Gain","Shot Density","Carbonate_Sandstone","Rock Type (DRT)","Porosity","Permeability (mD)","Wettability","Temperature Gradient (°F_ft)","Fracture Pressure (psi)","Bottom0hole Pressure (psi)","Bottom0hole Temperature (°F)","Initial Skin","cl"
"211",1,0.488623504671561,0.477254324694955,0,0.529411764705882,1,3,0.625,0,0.333333333333333,0.417530285220042,0.00135324657686667,0.5,0.6902403518421,0.428886935512081,0.414421707363375,0.418368474920928,0.405576599913436,"4"
"212",0,0.685205665897308,0.671902346789948,0,0,1,4,0.375,1,0.833333333333333,0.632803655986616,0.091871505392571,1,0.955302686169258,0.579169639539162,0.715142633848913,0.71238455537022,0.97016937181159,"3"
"213",0,0.687625640502385,0.673154864610436,0,0,1,4,0.5,1,1,0.756513059559348,0.433029705260906,1,0.955302686169258,0.580301891004374,0.716370676977185,0.713482531738908,0.538767764431839,"3"
"214",0,0.688897830734352,0.675011447920677,1,0,0,4,0,0,0.5,0.182815022702289,0.000425293319112518,0,0.955302686169258,0.581980205786745,0.718190981917292,0.715110041198493,0.0312006417213268,"2"
"215",0,0.690783574085454,0.676972720693332,1,0,0,4,0,0,0.5,0.500714746945154,0.00619726617896798,0,0.955302686169258,0.583753157783271,0.720113930646426,0.716829323049578,0.259297403740503,"2"
"216",0,0.692775651182306,0.679809387253911,0,0,1,4,0.5,1,0.666666666666667,0.6202227753441,0.0318030089476643,1,0.955302686169258,0.586317448539854,0.722895167623606,0.719315988547197,0.708165072964886,"3"
"217",0,0.784819379330876,0.778992948342585,1,0.235294117647059,0,4,0,0,0.333333333333333,0.241807525739423,0.000311560279295695,0,0.341086099748686,0.782696537117096,0.724393635438566,0.806261822335958,0.230123541395919,"2"
"218",0,0.796398238386586,0.781544528078074,1,0.235294117647059,0,4,0,0,0.5,0.185341878803649,0.00043946903268092,0.5,0.341086099748686,0.78520535802659,0.726713906446242,0.808498576341819,0.0795060394027218,"2"
"219",0,0.798989893980204,0.799988441761087,1,0.235294117647059,0,4,0,0,0,0.334605122796943,9.88120863843515e-05,0.5,0.341086099748686,0.803340192559584,0.743485821347255,0.824666794501115,0.144095471339721,"2"
"220",0,0.817723493169739,0.809409066411198,1,0.235294117647059,0,4,0,0,0.166666666666666,0.444456847041314,0.000594306098616057,0.5,0.341086099748686,0.812602948402155,0.7520524367447,0.832925058834683,0.174721593173356,"2"
"221",0,0.827292080907859,0.82000093765508,1,0.235294117647059,0,4,0,0,0.333333333333333,0.221051550115982,0.000248445455162806,0,0.341086099748686,0.823017323339265,0.761684121548588,0.842210055930716,0.0895691278286441,"2"
"222",1,0.174271387225728,0.172612884710201,0,1,1,1,0.375,1,0.666666666666667,0.882542935428801,0.0956393223088595,1,0.716953801861131,0.164622431491946,0.15209193069757,0.151315107252442,0.802858570936408,"1"
"223",1,0.180494191997771,0.175993660564424,0,1,1,1,0.5,1,1,0.8205030073137,0.559529075221063,1,0.716953801861131,0.167846707260153,0.155070785536754,0.154278747318112,0.320946163585516,"1"
"224",1,0.183928067307055,0.179681072628345,1,1,1,1,0,0,0.166666666666666,0.108149766193994,1.76229816512495e-05,0.5,0.716953801861131,0.171363424687676,0.158319822368626,0.157511189397236,0.243178733493145,"1"
"225",1,0.187673394944093,0.182708257513608,0,1,1,1,0.5,0,0,0.51397237877027,0.000332641971947937,0.5,0.716953801861131,0.174250477628274,0.160987122637382,0.16016486618594,0.34655225903931,"1"
"226",1,0.19074812568117,0.188185745736312,1,1,1,7,0,0,0.166666666666666,0.0735434086965597,8.27938226584952e-06,0,0.716953801861131,0.179474406486215,0.165813423759474,0.164966516533675,0.141427902539408,"4"
"227",1,0.366619778707571,0.357437138436483,1,0.529411764705882,0,4,0,0,0,0.265670929809642,5.33695164653653e-05,0.5,0.512971086465992,0.317629768498723,0.309547908256984,0.313334888234597,0.0589518908270347,"4"
